Id,SalePrice
2658,130434.69736422916
2718,159868.78315253052
2414,235775.6970536129
1989,116579.53120556104
625,189035.3050154632
333,85377.4390407419
1327,99790.03323073428
858,157420.76206074358
95,176210.94661256648
1568,168145.8949505673
2482,147949.8680333603
1364,123936.15415542139
2584,151417.51267990726
818,265989.7965993433
2673,152298.32280095835
2089,122753.12526647645
1297,169005.9984630141
790,116083.5808589492
2616,194994.55058029195
720,197289.2842179307
222,158533.7710391733
557,126109.94155224618
1148,176790.8185904749
2766,167348.81338669083
534,181641.1914017494
1452,126051.1757286537
630,126928.13147012972
2648,132324.32036527563
125,168647.82852340417
1904,24508.585244025628
1670,96745.53358376356
756,101089.59733522871
717,196830.71835132403
1032,155153.19662452253
852,224971.952390886
1731,179996.21293542598
2639,116812.51040588552
2071,73338.97025304598
1267,146079.46937610427
1851,198275.82314551447
567,176284.89822880598
2439,211953.17005781233
1898,154765.3059915939
647,164595.6601004126
2256,212862.28116036372
979,97987.77218891533
1444,225222.77032919406
2485,125689.00788558958
157,134301.84384621072
88,115303.94471132293
2003,105839.2023328514
186,215371.3522745875
1425,240624.4709498163
2695,124478.50826283274
738,97098.349106297
395,160498.3690631584
1353,171173.19192958536
1878,150071.07649021142
390,161623.56528107403
1456,233881.97534208145
1103,314716.16013077646
1387,121142.55771920679
2070,146426.21335817355
1199,166414.25696203636
2479,185056.4404873414
501,326686.04257259925
2362,87188.74214948171
1718,236409.83398163912
2188,83274.14752239159
1483,160867.89293453877
2557,91938.96334454298
437,356303.1238910856
2224,199981.4609967461
1628,185578.16429391204
397,138393.61023002246
587,195695.42889072374
2182,502276.90009476757
971,150294.62333513665
2611,143031.35320300376
1887,80854.3032467569
2399,367612.4056049995
2148,200801.830375906
304,145349.8220667838
1997,136657.8287716196
2817,110169.67496770756
1431,212081.18724945048
427,342864.9889311156
263,130855.44229197057
598,180929.0301048835
2895,219094.73058740256
687,140441.3215438348
1822,135583.9898404184
2191,94095.62155956173
179,116498.05439977521
1009,263263.6178226491
2010,124866.97030097683
1991,145589.89997593733
1411,213691.13883440828
1721,250775.3108451348
1144,198233.34583388755
593,220689.08191911326
575,297970.0360050588
1249,159617.55353876605
1604,129387.90863015932
1064,386156.0498908363
1923,151027.36263131772
1988,115284.33605729422
2325,171365.99876999322
114,193458.73324880775
2700,163550.0775506567
217,116337.24481934983
343,187900.1441170197
386,221035.95492122538
2005,99888.54121836812
2908,124752.9887040712
1814,241852.6074959179
2446,437722.39640366734
208,144701.82020872668
1679,103164.12839169668
822,310928.52270975267
6,190052.32033422627
1781,365340.1145654986
2397,322309.0864578371
2340,331048.20463277923
1618,167416.171207885
2843,170149.4798561681
1061,358220.19395313505
2786,127076.75384584288
1935,135142.60269638494
1341,120868.52310560312
521,256014.9546132782
2136,142942.15580845927
996,203404.43199651942
227,145370.66934833015
135,161725.68759250542
1167,164848.1378966163
294,227966.94240182327
1776,205663.02760173788
540,170229.87147927564
1717,248310.7492679897
2303,122370.09097064691
116,190757.85765998348
127,150819.06621239634
1371,130817.3091321782
1014,148641.7452881714
1507,94307.16179199124
702,144424.06486097813
750,150058.53583121032
261,141509.75162580423
1559,69949.35177721913
577,211424.98734732982
2812,196493.39095417294
2080,149929.51190274206
1368,110997.57698585252
2376,128882.04516045321
659,126661.04304403313
1235,138273.61905188643
332,73412.06422262368
1917,144814.19817149418
2094,237388.97176389195
1460,256030.41928106645
1471,218549.8369992004
1509,111025.36956394093
1922,125571.83619522242
433,468955.7152943965
460,279518.6961173221
1116,233318.9638856887
1137,161675.14958022247
53,166944.88444864305
2354,262362.79414501693
1475,202135.28663524718
1761,375470.96355369093
842,140033.04821226044
2739,169079.58092305044
2509,161330.54051850346
1007,206098.04970694362
2610,185914.70516274447
1952,99584.6066162277
2719,162227.864429567
2921,81471.49933111233
1966,149588.98848885795
292,123714.50670255009
1204,193479.36430796474
1829,252562.49215833802
2419,202851.96149863314
391,158416.0092046208
798,114993.91000474371
481,213412.00719756604
193,191027.90494487315
555,126033.30064985607
899,36010.62375267348
2357,196135.43370318483
328,145878.52337969124
1356,105775.35810555301
1154,107090.4678408158
1730,194517.8874153135
2249,180850.39444400545
1119,294223.64216398157
2856,144390.65240757755
1394,126459.66021188651
2587,126246.63077066976
61,321070.81257098593
2661,174293.3938728393
2711,124983.12581887064
1147,183159.53332720842
757,131326.98810335528
2623,95247.82106114802
2378,139992.09342126007
1413,146071.25769826426
1722,240918.93200289388
1112,228724.87150013968
1623,190091.50457520716
1201,206065.4878948667
1513,109183.29644777502
957,309528.945309795
1171,246615.47392383186
1145,197571.41775624282
2726,205770.63874021982
703,160953.5524411953
760,127747.0597427646
1964,160574.65203346935
2512,195766.57606727502
159,133510.86584755318
1281,180929.51577637333
468,195301.60764343967
290,140200.15983150137
665,106728.7896506374
1463,249077.12501097177
1792,220950.2336284831
923,168385.73737309765
500,284364.3443671282
1408,147496.9569248316
331,83457.90769337163
170,154186.97029276844
2192,87217.67954752673
2571,182582.44177776788
2314,166789.80653250567
2647,89209.57548610508
422,420448.5955187964
2457,317829.9275297319
1838,191678.35293646826
2805,249451.79742240315
1645,159471.34971198818
1711,315571.78742488427
2825,224535.17097276152
322,306744.0775686579
2103,259446.3201887437
342,117310.47515054053
600,126563.66680673353
488,167737.98336197005
1725,308468.28981836705
2246,304941.1396798231
2847,150709.62628284493
806,234606.15289495204
530,229219.3530002743
963,188029.444832294
2678,108383.77096184737
171,84587.27114948681
2401,415707.6943840368
805,228327.45670321595
2259,254366.0353986145
1748,206199.98132915626
1361,139267.72728210752
1677,112920.43678662334
1406,174437.71671724177
2322,255821.93506928865
688,154484.49906623652
143,139370.1795023219
804,215475.86558660504
1214,218493.1271557158
2828,151030.75819345834
1999,200217.42215540662
2467,209799.5158606972
2665,178780.96819358217
1538,311625.7419533729
398,118799.51107861717
2822,147894.5544296118
2157,149357.99346913732
1856,187972.34090890826
1269,110918.83224763685
2570,112855.13561003652
2320,246210.8615292754
1517,131139.59530875913
2304,117004.44619683732
1312,99210.38143847111
2012,140312.34705609235
506,254830.62633448397
2865,207091.97728249893
2367,101230.88009761399
554,92073.98815439316
238,130684.72487342868
1954,106777.01774956178
2488,133307.87037415814
2291,81631.0806593918
1969,100854.82142051903
2725,168829.87577178254
1482,156329.06257407478
2763,209119.2211733881
503,273034.1397234457
1584,252613.97280987428
1531,169859.22449350407
2210,189779.14242572934
459,327604.96935475146
556,127757.5923379066
1347,134861.93779112646
1290,77834.53927046861
1388,99436.3714450625
1571,253599.38033801506
2754,217864.89722056038
765,142548.5585525753
2494,123058.59517903902
2870,232050.48898223744
